ID,TITLE,ABSTRACT,Computer Science,Physics,Mathematics,Statistics,Quantitative Biology,Quantitative Finance
1,Reconstructing Subject-Specific Effect Maps,"  Predictive models allow subject-specific inference when analyzing disease
related alterations in neuroimaging data. Given a subject's data, inference can
be made at two levels: global, i.e. identifiying condition presence for the
subject, and local, i.e. detecting condition effect on each individual
measurement extracted from the subject's data. While global inference is widely
used, local inference, which can be used to form subject-specific effect maps,
is rarely used because existing models often yield noisy detections composed of
dispersed isolated islands. In this article, we propose a reconstruction
method, named RSM, to improve subject-specific detections of predictive
modeling approaches and in particular, binary classifiers. RSM specifically
aims to reduce noise due to sampling error associated with using a finite
sample of examples to train classifiers. The proposed method is a wrapper-type
algorithm that can be used with different binary classifiers in a diagnostic
manner, i.e. without information on condition presence. Reconstruction is posed
as a Maximum-A-Posteriori problem with a prior model whose parameters are
estimated from training data in a classifier-specific fashion. Experimental
evaluation is performed on synthetically generated data and data from the
Alzheimer's Disease Neuroimaging Initiative (ADNI) database. Results on
synthetic data demonstrate that using RSM yields higher detection accuracy
compared to using models directly or with bootstrap averaging. Analyses on the
ADNI dataset show that RSM can also improve correlation between
subject-specific detections in cortical thickness data and non-imaging markers
of Alzheimer's Disease (AD), such as the Mini Mental State Examination Score
and Cerebrospinal Fluid amyloid-$\beta$ levels. Further reliability studies on
the longitudinal ADNI dataset show improvement on detection reliability when
RSM is used.
",1,0,0,0,0,0
2,Rotation Invariance Neural Network,"  Rotation invariance and translation invariance have great values in image
recognition tasks. In this paper, we bring a new architecture in convolutional
neural network (CNN) named cyclic convolutional layer to achieve rotation
invariance in 2-D symbol recognition. We can also get the position and
orientation of the 2-D symbol by the network to achieve detection purpose for
multiple non-overlap target. Last but not least, this architecture can achieve
one-shot learning in some cases using those invariance.
",1,0,0,0,0,0
3,Spherical polyharmonics and Poisson kernels for polyharmonic functions,"  We introduce and develop the notion of spherical polyharmonics, which are a
natural generalisation of spherical harmonics. In particular we study the
theory of zonal polyharmonics, which allows us, analogously to zonal harmonics,
to construct Poisson kernels for polyharmonic functions on the union of rotated
balls. We find the representation of Poisson kernels and zonal polyharmonics in
terms of the Gegenbauer polynomials. We show the connection between the
classical Poisson kernel for harmonic functions on the ball, Poisson kernels
for polyharmonic functions on the union of rotated balls, and the Cauchy-Hua
kernel for holomorphic functions on the Lie ball.
",0,0,1,0,0,0
4,A finite element approximation for the stochastic Maxwell--Landau--Lifshitz--Gilbert system,"  The stochastic Landau--Lifshitz--Gilbert (LLG) equation coupled with the
Maxwell equations (the so called stochastic MLLG system) describes the creation
of domain walls and vortices (fundamental objects for the novel nanostructured
magnetic memories). We first reformulate the stochastic LLG equation into an
equation with time-differentiable solutions. We then propose a convergent
$\theta$-linear scheme to approximate the solutions of the reformulated system.
As a consequence, we prove convergence of the approximate solutions, with no or
minor conditions on time and space steps (depending on the value of $\theta$).
Hence, we prove the existence of weak martingale solutions of the stochastic
MLLG system. Numerical results are presented to show applicability of the
method.
",0,0,1,0,0,0
5,Mean Reverting Portfolios via Penalized OU-Likelihood Estimation,"  We study an optimization-based approach to con- struct a mean-reverting
portfolio of assets. Our objectives are threefold: (1) design a portfolio that
is well-represented by an Ornstein-Uhlenbeck process with parameters estimated
by maximum likelihood, (2) select portfolios with desirable characteristics of
high mean reversion and low variance, and (3) select a parsimonious portfolio,
i.e. find a small subset of a larger universe of assets that can be used for
long and short positions. We present the full problem formulation, a
specialized algorithm that exploits partial minimization, and numerical
examples using both simulated and empirical price data.
",0,0,0,0,0,1
6,Consumption smoothing in the working-class households of interwar Japan,"  I analyze Osaka factory worker households in the early 1920s, whether
idiosyncratic income shocks were shared efficiently, and which consumption
categories were robust to shocks. While the null hypothesis of full
risk-sharing of total expenditures was rejected, factory workers maintained
their households, in that they paid for essential expenditures (rent,
utilities, and commutation) during economic hardship. Additionally, children's
education expenditures were possibly robust to idiosyncratic income shocks. The
results suggest that temporary income is statistically significantly increased
if disposable income drops due to idiosyncratic shocks. Historical documents
suggest microfinancial lending and saving institutions helped mitigate
risk-based vulnerabilities.
",0,0,0,0,0,1
7,How to model fake news,"  Over the past three years it has become evident that fake news is a danger to
democracy. However, until now there has been no clear understanding of how to
define fake news, much less how to model it. This paper addresses both these
issues. A definition of fake news is given, and two approaches for the
modelling of fake news and its impact in elections and referendums are
introduced. The first approach, based on the idea of a representative voter, is
shown to be suitable to obtain a qualitative understanding of phenomena
associated with fake news at a macroscopic level. The second approach, based on
the idea of an election microstructure, describes the collective behaviour of
the electorate by modelling the preferences of individual voters. It is shown
through a simulation study that the mere knowledge that pieces of fake news may
be in circulation goes a long way towards mitigating the impact of fake news.
",0,0,0,0,0,1
8,Internal migration and education: A cross-national comparison,"  Migration the main process shaping patterns of human settlement within and
between countries. It is widely acknowledged to be integral to the process of
human development as it plays a significant role in enhancing educational
outcomes. At regional and national levels, internal migration underpins the
efficient functioning of the economy by bringing knowledge and skills to the
locations where they are needed. It is the multi-dimensional nature of
migration that underlines its significance in the process of human development.
Human mobility extends in the spatial domain from local travel to international
migration, and in the temporal dimension from short-term stays to permanent
relocations. Classification and measurement of such phenomena is inevitably
complex, which has severely hindered progress in comparative research, with
very few large-scale cross-national comparisons of migration. The linkages
between migration and education have been explored in a separate line of
inquiry that has predominantly focused on country-specific analyses as to the
ways in which migration affects educational outcomes and how educational
attainment affects migration behaviour. A recurrent theme has been the
educational selectivity of migrants, which in turn leads to an increase of
human capital in some regions, primarily cities, at the expense of others.
Questions have long been raised as to the links between education and migration
in response to educational expansion, but have not yet been fully answered
because of the absence, until recently, of adequate data for comparative
analysis of migration. In this paper, we bring these two separate strands of
research together to systematically explore links between internal migration
and education across a global sample of 57 countries at various stages of
development, using data drawn from the IPUMS database.
",0,0,0,0,0,1
9,Quantifying macroeconomic expectations in stock markets using Google Trends,"  Among other macroeconomic indicators, the monthly release of U.S.
unemployment rate figures in the Employment Situation report by the U.S. Bureau
of Labour Statistics gets a lot of media attention and strongly affects the
stock markets. I investigate whether a profitable investment strategy can be
constructed by predicting the likely changes in U.S. unemployment before the
official news release using Google query volumes for related search terms. I
find that massive new data sources of human interaction with the Internet not
only improves U.S. unemployment rate predictability, but can also enhance
market timing of trading strategies when considered jointly with macroeconomic
data. My results illustrate the potential of combining extensive behavioural
data sets with economic data to anticipate investor expectations and stock
market moves.
",0,0,0,0,0,1
10,Mid-price estimation for European corporate bonds: a particle filtering approach,"  In most illiquid markets, there is no obvious proxy for the market price of
an asset. The European corporate bond market is an archetypal example of such
an illiquid market where mid-prices can only be estimated with a statistical
model. In this OTC market, dealers / market makers only have access, indeed, to
partial information about the market. In real-time, they know the price
associated with their trades on the dealer-to-dealer (D2D) and dealer-to-client
(D2C) markets, they know the result of the requests for quotes (RFQ) they
answered, and they have access to composite prices (e.g., Bloomberg CBBT). This
paper presents a Bayesian method for estimating the mid-price of corporate
bonds by using the real-time information available to a dealer. This method
relies on recent ideas coming from the particle filtering (PF) / sequential
Monte-Carlo (SMC) literature.
",0,0,0,0,0,1
11,Nonparametric Bayesian volatility learning under microstructure noise,"  Aiming at financial applications, we study the problem of learning the
volatility under market microstructure noise. Specifically, we consider noisy
discrete time observations from a stochastic differential equation and develop
a novel computational method to learn the diffusion coefficient of the
equation. We take a nonparametric Bayesian approach, where we model the
volatility function a priori as piecewise constant. Its prior is specified via
the inverse Gamma Markov chain. Sampling from the posterior is accomplished by
incorporating the Forward Filtering Backward Simulation algorithm in the Gibbs
sampler. Good performance of the method is demonstrated on two representative
synthetic data examples. Finally, we apply the method on the EUR/USD exchange
rate dataset.
",0,0,0,0,0,1
